id,bio,website,userId
1,セキュリティエンジニア,https://myportfolio.dev,1
2,Frontend enthusiast,https://github.com/testuser,2
3,セキュリティエンジニア,,3
4,Full-stack developer,https://github.com/testuser,4
5,Technical writer,,5
6,,https://blog.example.jp,6
7,UIデザイナー,https://blog.example.jp,7
8,Student,,8
9,機械学習エンジニア,https://github.com/testuser,9
10,Technical writer,,10
11,プロダクトマネージャー,https://github.com/testuser,11
12,,https://myportfolio.dev,12
13,デザイナー,https://myportfolio.dev,13
14,Full-stack developer,https://blog.example.jp,14
15,Web developer,,15
16,ソフトウェアエンジニア,https://example.com,16
17,Frontend enthusiast,https://myportfolio.dev,17
18,,https://example.com,18
19,ソフトウェアエンジニア,https://blog.example.jp,19
20,Frontend enthusiast,,20
21,プロダクトマネージャー,https://myportfolio.dev,21
22,フリーランス,https://example.com,22
23,Data scientist,,23
24,,https://github.com/testuser,24
25,プロダクトマネージャー,,25
26,フリーランス,https://example.com,26
27,バックエンドエンジニア,https://github.com/testuser,27
28,Full-stack developer,https://github.com/testuser,28
29,プロダクトマネージャー,https://blog.example.jp,29
30,,,30
31,DevOps engineer,,31
32,フリーランス,https://myportfolio.dev,32
33,機械学習エンジニア,,33
34,デザイナー,https://example.com,34
35,バックエンドエンジニア,,35
36,,https://blog.example.jp,36
37,Web developer,https://example.com,37
38,Full-stack developer,https://example.com,38
39,Student,https://myportfolio.dev,39
40,UIデザイナー,,40
41,DevOps engineer,https://example.com,41
42,,https://example.com,42
43,機械学習エンジニア,https://myportfolio.dev,43
44,Student,,44
45,デザイナー,,45
46,フリーランス,https://myportfolio.dev,46
47,Data scientist,https://github.com/testuser,47
48,,https://example.com,48
49,プロダクトマネージャー,,49
50,ソフトウェアエンジニア,,50
